obs,sim
151.01188789111077,150.15549284077383
152.15134413637765,152.06313225381842
153.96124601617265,153.87317818685815
155.93324000830404,155.65726109905847
158.1028466833626,157.457564146737
160.17284098483958,159.05377894428568
162.08234649198377,159.76584563890214
164.18512088247545,164.2880819019719
166.3930710686377,165.96914261136556
169.21921997776846,169.91370094760822
171.81024604447927,170.43498199738073
174.1849973675303,171.59144896225533
176.4920346524195,175.68830223991543
178.7614162426626,179.28508384697386
180.66624404042523,181.26824667513708
182.59850425031715,183.01050458448537
184.01803156583844,183.26743202348283
185.0386626321112,185.5620651384889
185.63258558556998,185.5572823549568
185.12524486056668,183.9188072076258
183.4100547082434,182.24289060760577
180.24188837049655,180.53881799316883
181.27200527152297,179.36077286171806
181.7856451977601,179.68565991392234
182.29244665443596,180.57111013546086
182.7603898798574,182.1319740796888
183.22975739166878,182.86730882847246
183.4517825718849,182.05985997246913
183.60365880374084,181.22939959725457
183.78476838533334,182.17993510271583
184.21345182063467,184.5076521528386
184.63492644000496,183.76376535797164
184.969367700822,182.39284686123892
185.19776475016576,182.65954480788827
185.2670066544264,184.81154644822288
185.11780353386274,184.96033451994793
185.23664975277742,184.54069273306703
185.4868413749338,184.12821824372332
185.4927659664094,184.37419829624227
185.48031503748436,186.0106925351535
185.1150190048529,185.7726102056313
183.3984335354594,185.19627101310792
181.85685152895164,188.06646992705865
190.15411333933739,190.6504484536436
190.88915297200066,191.63559997315818
190.20380420549475,190.14976628458635
189.6430196162349,190.09803050466192
189.3001002605847,190.93344757240018
188.51898117436272,191.09048236226062
187.80681741790085,190.7330128702966
187.408612208434,189.18796686787385
187.1047654774535,189.3936757753499
186.72945521548144,187.56626461423173
186.28686221924238,186.3766876893175
185.72962727217248,186.7528702112549
185.6709995010646,188.32269864930478
185.42934203755007,189.794282749776
184.3492310459053,191.1305601887707
183.79881392151657,192.55146087285462
185.29618144740263,194.08377355989066
187.825501071154,195.5466061826074
189.07229434482934,196.8190804644762
191.35241256822,197.30037541385212
191.11961196781647,195.55904248534065
190.25819967542208,193.2580234973936
188.93018370223052,190.78294321757525
187.66074346274502,188.52099773250518
186.53796210358365,186.38104558710168
185.63392236137577,186.2667921654372
185.29939271282,186.15255652388115
185.59961312277272,186.03832088417826
185.4796053283374,185.9260626381391
184.9061816766594,185.27837644347906
184.4767433905371,184.01830054875705
184.03889028529332,185.27112646993618
184.2604564493733,183.7007759281635
184.4669148500228,182.79185942006578
184.56964356692515,183.1459031624794
185.11219959589053,185.5557770689997
186.36921993611782,188.01379976409427
187.43976236460037,187.65613984836943
188.25493504527662,187.55729704353146
188.89764417219234,188.31282772173415
189.51360030303977,189.1405450941478
190.03941593132546,189.49303472820512
190.34844045298578,188.25531291041125
190.63757578190751,189.83288698035386
190.83216285013344,191.7004785629284
190.83223711883454,190.77569808128737
190.83546093975417,189.7518958920752
190.68448329667245,189.17274060585427
190.3102353410045,189.73433918733
189.8488468474418,190.3017318610646
189.41176301581513,189.59665947554163
188.89562247562196,187.79842251287388
188.17761379714423,187.6259787281725
187.95279226898379,187.9917183358749
187.66152615714324,188.376896631165
186.87538167424935,190.5539134121114
186.30691505261234,190.83281601214108
185.9700927089993,190.234050643696
186.00810227062186,190.3003435382676
186.03736873112075,191.69202900344013
186.28660006192243,191.6625153547425
186.5833070717711,189.88586560775624
186.62353952573264,189.78744418099382
186.5941170823966,189.83870924872264
186.5219247930929,189.8899743141154
186.61742000901842,188.8732254571651
186.96721867306496,187.69497212372553
186.9060856290058,188.02867595745315
186.87090595377543,188.38889907321342
187.13413760720744,188.76279577998807
187.2279228016273,187.9993642441598
186.3741442673643,186.2226990760671
185.53053776658012,184.5186324461232
184.73530274153092,184.56989751352302
183.9218745021283,184.62116257896992
183.06810520051422,184.67242764719416
182.18933797125263,183.4334091865143
181.25978398669997,182.33501526415986
180.45000586862668,181.91142930806203
180.2181548605447,180.13477956107576
180.000248194809,179.63712979544164
179.79188270831813,178.61279968294934
179.54999532815685,178.856540432131
179.31533968039832,179.52278279185717
178.8121002621084,179.3203499860906
178.34493692608237,177.59446166291767
178.05477415327633,177.26128654061165
177.79174741406152,176.26552714372136
178.0356935975888,176.94087249989343
178.19216218543923,178.51008784912528
177.9174303692626,179.38080450356065
177.6650933403835,179.3180404794843
177.23901613129428,177.5921521478233
176.75307537100545,176.96435327147347
176.14986563335123,176.16994383853907
175.68241115159333,174.4440555068781
174.98030237750365,172.71816718940735
173.66350463430857,172.27171339764914
172.93711844566798,173.21300475430496
172.20925200412884,173.63882833757154
171.89941156817866,173.1637598250827
171.85396977460786,173.68264024247324
172.06657392431583,175.25753542648795
172.48334491286357,176.74430142658474
173.2648423665401,177.33177656457633
174.0068060967791,177.8644521401709
175.12389962184238,179.90002558158596
176.69685064668434,182.1402465999845
178.99104224760617,185.6311575367126
181.42047748965436,189.07875543737302
183.07885580466345,191.36149649147276
183.71393100935123,192.15317959434904
184.0460548535239,191.05384985217896
185.06493662399427,188.88539851129943
186.18093200671808,187.32923197900092
186.82350535995894,187.50888741185298
186.81090769384895,186.6949452321991
186.21347184102393,186.1034072775885
186.4407895560522,186.40906433547175
186.93461990256267,187.16242985129725
187.6756339930025,188.89286635226713
188.56083610690473,189.1524945547982
189.18919711767774,187.73509379328772
188.60901787808226,187.98016467008546
187.96671628692033,188.8322424304072
191.1095008050454,189.63422389687946
193.5352323891339,193.2020495338832
201.67935834627892,198.15011657893174
199.8814531382831,199.03104647995363
199.48850337243144,199.95079298872463
199.59836109507282,199.8493275871121
198.4438393584958,197.75046916088363
196.32216590417022,196.8496874266637
194.27075037599482,196.42698387239386
192.3266588833164,193.46508463790704
190.65802788259458,191.8503219732036
188.87063023539383,187.86409832012683
187.07566193796512,184.59750720794506
185.02563225739442,182.58242614445732
183.25721243532115,181.21786121652625
181.63148143367943,179.8542248464178
180.00575044666587,178.490588488725
178.2312301742135,177.0096024366773
176.6488028366605,173.67873227647928
175.05821906303171,172.13720482413225
173.85218891671775,172.8118386042933
172.4490269690153,171.5435403984025
171.2349792241858,168.42484083261851
168.3965982632748,166.78032987345574
167.15624080913327,166.0221846532165
165.65467041455722,165.09746434764565
163.8892168932907,164.49709701026205
171.57062060428794,168.08589239375266
174.30472762970214,174.59551586602956
175.76669719685702,174.68327528775356
174.89943284789794,172.22758155837192
174.15436261861782,173.01523516858072
173.97613445172766,173.2725833199719
174.20884349825548,172.74214912722525
174.1087582187233,172.45542968108361
173.55040130920835,172.1281120197082
173.16686145507265,171.94147742335917
172.83352812175872,171.7549200214562
173.13311690255068,171.56836261949502
173.48218106979039,171.38180521759205
173.77629871678073,171.19524781568907
174.33558403661937,170.98236139516706
174.9888767732321,173.20387671892507
175.5455025621217,173.3158152584735
175.9348946338438,171.6340347198171
176.09323029931082,171.8533226871556
175.29251158740695,172.1032768077342
176.07856462837097,172.3769012421152
173.8677900779043,170.61531837566696
171.21460183442588,169.06962711492912
171.22123487566517,169.67665475728
172.59314190998688,171.97153847164702
173.3224492613619,172.42153847218708
171.17459084354687,175.18642353632669
175.5194652451541,177.42186265469624
176.49481228953877,177.92213991659665
177.12051593161212,176.9283035587258
176.13224353790073,174.6862389359303
175.12225245988952,173.9649011449436
173.63796238246,173.074837018171
171.6626506037372,168.91088736694812
169.32023246120588,164.8061377578262
166.78772860329428,162.12639920548744
164.28018071747414,159.23673636301575
162.16968532346795,156.85314821505526
160.08912294062597,155.33087914049312
159.34682376575344,154.78406106548994
159.30086972112375,155.5378299090256
159.54764588394463,156.29159217729676
159.90794087031918,157.04093684506262
162.43965416894324,159.96862894227388
164.73280637449562,162.71622406799668
165.9932916702788,163.55670746591235
166.16555625689512,164.32508537342068
166.2346802528189,163.11583348885685
166.02102421985202,163.40580857225754
165.87601081608062,162.83549885504098
165.79165373877296,163.68977021379334
165.716291421536,162.68104956555743
165.73186873670466,164.5661164425779
165.97059162839426,164.87372124578945
166.20945080799257,164.0105052969226
166.70448561939813,164.39342012240962
167.22232722050597,165.3481939915983
167.70989054385524,164.68966858864553
168.03770821536642,163.5395193265166
168.36552186767906,163.7607139414912
168.68719510218082,164.22893560096392
168.99701851359416,164.69606540149294
169.30932373422962,165.1668363001846
169.50244550561163,165.63869969276504
169.55360551289226,166.1513710555623
169.6483990307567,166.67309514578423
169.8034338463921,167.24000794349772
169.99957438556007,166.66247505834593
169.7162013407714,165.66004190345794
169.2651226514906,164.51691841964467
168.89213280665442,163.37270214503798
168.70887435282842,164.11498842900733
168.52561589797858,163.54446143744846
168.13407161395278,164.1149633047974
167.63581473492636,165.2130623232986
167.37101406224605,164.74134553249198
167.146409529788,163.43413809522957
167.2907459067903,163.55471421223132
167.66616021407646,163.72740010554068
167.84957577238728,162.77750864040837
166.04982767406653,163.62861337760762
166.0216748353284,164.77171564038326
169.45418059531355,166.74294155314072
172.56504149846955,171.00573533056465
174.75004995500797,175.80273783261566
177.4007785145268,178.3463442042925
179.5085751230679,177.20522466320514
180.52279495793434,177.2817891858366
181.08881029293315,180.19831307683324
181.35851983646467,181.49971640155565
182.20565524138865,182.5073211042896
183.45480934620633,183.56257558935818
186.3200001308166,186.72898173826735
187.8880979620581,187.83459001302515
188.40076876514664,188.83911177167025
187.8089148535204,189.89420810503705
187.45396317491773,189.93608485285506
186.49952017698502,188.21198331338516
184.91372344715649,186.48788176793295
182.8255443114475,183.44174583184144
180.8010022959368,180.0290601968593
178.83982355588623,176.65327554246733
176.32785849831947,172.62820731565887
174.6359574553933,172.10207321677763
173.38148545427347,171.67419178232427
171.83424370075272,170.5678538539119
169.74449601590902,166.19495727994342
167.34934216538556,163.87288784166273
164.78286645048738,161.61168279732343
161.81696571123007,157.03110619230645
158.51541140501902,154.15382593690515
155.7789655798723,151.05318973664194
153.30795532511877,148.42995884158222
150.92867661364994,147.17018485143194
149.1357184764423,146.01201104570586
147.10111674956056,142.39448513621682
145.21666774874208,142.14639866047128
143.1792193983627,139.90923749318077
140.3469941096584,142.6222779563017
153.6774617756315,150.34158424242003
154.9276331702591,152.2166104944479
155.6936084068947,153.121133103739
156.0737217186337,154.02565572008686
156.17749253616805,154.48924715908868
156.54919820077063,153.6580103234506
157.12494603009762,152.86255415247527
157.502691790734,155.62656003749586
157.79951015997358,155.6799445704422
158.13593350239935,154.60343333352782
158.50031958901124,154.44488637194277
158.79898908136153,155.3279857193401
159.05696446456957,156.23242674298723
158.79557478418167,155.20048984009102
158.50367274757474,155.9565474691185
157.760910699875,154.61202865990631
156.76331823746122,151.72550279216148
155.00386248386278,150.99374267542518
153.30712508516226,150.1503340742897
152.14226012808646,149.31253473598
151.74527617383015,149.6000461854962
152.04048878014402,148.5662680150563
152.08333310649166,149.52118877172865
151.95940809392812,149.6879228154806
151.44433654059156,147.70784538482695
150.70095576645176,146.01450351856252
149.62458191447357,146.60045713521416
148.96347504801344,147.1864307279211
147.2746042153806,145.88368263708608
145.82761094514944,143.54113623383287
143.36419645746753,140.09608118153085
140.2604434555265,137.4865630785028
132.87531441006672,135.65910913238687
130.58613800399112,133.7123151249082
128.817401545057,132.12834299490615
126.72344781805101,131.1933524061682
126.98161752722488,130.02566152804647
128.64998216924528,130.99068956326235
133.45776007505916,133.79243332994926
137.59449276489227,137.68644026795613
136.18223048263795,139.15570192644466
131.35724126475895,133.23098589989434
132.2051234264464,120.34443533527158
135.4862397204135,133.8013418635222
138.3545660502964,135.2316446658344
137.38674556353664,133.61864505066848
136.17440704724325,132.1666996249301
136.03125015546527,130.8114395810932
134.9148437534167,131.12881244382206
133.33864227181584,132.03333505765298
134.2504847180903,134.49771525154597
138.97993320904436,137.81189364003563
142.8755185027951,141.12607202021744
147.54943659428557,145.8251902858679
151.26225666089059,152.67104535875816
157.0593173592362,160.0108147535293
165.23792798466997,165.86070341711834
169.61962497587436,167.68337346622016
170.67452491700905,167.1383768282958
169.8718266830862,166.37234753774837
167.77386135894218,166.27120060492564
166.92382717452904,167.25281677206377
168.55817200987624,168.4821717838874
168.02601582597563,175.98686613025063
172.3429045240649,179.01870294287716
168.11021229529055,173.61175598292547
170.0443073115284,176.03214580370656
175.68512803131904,179.84493732120228
179.30786891218662,183.0517631305376
182.65332820384026,185.81291798859345
192.68984878162337,188.62845939065608
198.07541937545903,194.42123210106493
199.40796483254664,197.37600424881117
200.31248744302167,198.00099950358515
195.63207977578358,197.90353789903574
198.09072324851195,198.8080553434328
200.00570934265542,199.7044967930649
200.90570934304293,200.6044967934524
201.4739920590537,199.59614077578544
201.8860297211864,200.55128046806777
202.1667119711791,201.50605433725644
202.35090230093738,202.46082820662212
202.40260924801862,202.50616811863702
202.01108336807872,201.39922537821695
201.6611925780014,200.40475923764367
201.02101083638112,200.1103311478225
200.3560825471391,201.01485375846534
199.72793960393057,200.5750095514082
199.12556616317474,200.01617620944913
198.67680211297412,199.45734804402468
198.33823893338314,198.90351136265204
198.001697715965,199.50040596601673
197.71178928483258,200.40846027279488
197.4288327788089,199.5827266835526
196.8487847022503,196.4398871469123
196.0114313848107,194.75970182119553
194.66108289031718,194.0753135136105
193.48293189298283,195.03022741543984
192.64162774516637,195.80960650695908
192.265590134083,194.79072556574178
192.39958500389375,195.69524817599103
192.88477619377562,196.59988347131133
193.87029128858478,197.3717879614016
194.82029129049306,196.52794530986182
195.68906402027085,197.39600951501322
196.11420288794096,197.04453894380237
196.48024701202246,195.72987190197188
196.92077345170742,196.23336745940583
197.3315276559076,197.09725797550507
197.54218166572977,198.00159432404243
197.3526264054851,198.99798823507683
197.17810246623205,198.61134630062193
196.84332156324925,197.71639367708087
196.35548915748765,196.67111171289844
195.64587343237855,195.52611382411592
195.34465827238947,194.53095563033864
195.41169352201445,194.61504396495744
195.4364514692282,195.78516655059786
195.47937018539682,196.96557344744255
195.63004844207194,197.61221349139277
196.28023399840686,197.48287320182513
196.92419200729796,197.4123763636517
197.5128175475204,199.09157434805093
198.10023051158217,201.55828173322325
198.65818525197875,200.9664626407225
199.01044375175132,200.71467074796405
199.19945944436483,201.61919336179497
199.0789592858531,201.01379222764749
198.95235121624964,201.41191546901683
198.99488027817628,200.37268821984335
199.0697114751382,199.29538833181877
199.30837581330454,200.2504970677397
199.5260781476257,202.0877827007977
199.91837706129542,204.02508410051968
200.53432071131454,203.01506039327006
201.45865250830005,203.97002157153946
202.98289961976766,204.92479544426885
203.4355127728551,205.87956931159397
205.34445410540283,206.7387655792711
204.53054111646748,207.64319678120776
203.68409507368239,206.6482267191276
203.50307095557642,205.69691928488768
205.0957810871981,205.9105313413502
204.8315712667696,204.92580474430713
203.58066337335018,202.10742465115246
201.90044023175878,200.7135205193419
200.35616770050544,199.2573792865465
198.84696524613463,197.25098196076934
197.79889361381763,195.44127806730563
196.70404463213725,194.9540614130525
196.10167119341682,195.8020851933268
195.41733001014447,194.31040572573224
194.3953821377521,193.62568721568778
193.37489435832654,192.9324912303622
192.5911570127731,193.37860289891833
191.7960573285067,193.94188931751256
190.97853876158686,192.04576021460664
190.32942785025276,190.3789541017313
189.90868076143886,190.46969191635455
189.46788616160356,188.82767219691974
188.79367503770933,186.53527408522567
187.7717271644413,185.80955811643636
186.72620180247566,185.08384215002417
185.59300388672122,183.9984211395664
184.07179721926298,180.3392172806326
181.61319785208178,177.8431183021491
180.36090372852854,176.02103562880103
